frame,tracker_id,class_id,class_name,x_center,y_center,width,height,confidence
0,-1,0,robot,438.07867431640625,1111.723388671875,282.7250671386719,330.2799072265625,0.9564744830131531
0,-1,0,robot,829.8822631835938,569.1840209960938,93.0626220703125,139.12057495117188,0.9304865598678589
0,-1,0,robot,1213.648193359375,665.8585815429688,144.0166015625,201.0111083984375,0.9135820269584656
0,-1,0,robot,149.58192443847656,799.1964721679688,184.18212890625,200.2152099609375,0.8739579916000366
0,-1,1,ball,724.1344604492188,790.9140625,22.791748046875,25.57763671875,0.8870062828063965
1,0,0,robot,433.96807861328125,1111.6180419921875,282.8272399902344,329.60394287109375,0.9603641629219055
1,1,0,robot,829.9095458984375,568.8162841796875,93.42645263671875,139.3934326171875,0.9291394948959351
1,2,0,robot,1213.6279296875,665.11962890625,144.00732421875,202.0963134765625,0.9266391396522522
1,3,0,robot,146.59713745117188,801.5186767578125,187.39134216308594,201.9488525390625,0.9057093262672424
1,4,1,ball,723.8978271484375,790.8075561523438,22.81903076171875,25.817626953125,0.8873057961463928
2,0,0,robot,430.7234802246094,1111.6068115234375,279.28485107421875,331.968505859375,0.9551104307174683
2,1,0,robot,829.700439453125,568.9767456054688,93.63604736328125,137.14901733398438,0.9260099530220032
2,2,0,robot,1213.9248046875,665.0322875976562,142.83984375,202.6522216796875,0.9315643310546875
2,3,0,robot,144.4727020263672,805.469482421875,182.29510498046875,202.7666015625,0.9300647974014282
2,4,1,ball,723.7332763671875,791.0343627929688,23.1329345703125,25.4866943359375,0.8840729594230652
3,0,0,robot,425.812744140625,1111.5908203125,279.00927734375,331.956298828125,0.9474748373031616
3,1,0,robot,829.486572265625,568.084716796875,91.91119384765625,136.8282470703125,0.9239535927772522
3,2,0,robot,1213.68408203125,666.1990966796875,142.6710205078125,200.228271484375,0.9236000776290894
3,3,0,robot,141.55479431152344,808.744140625,182.8653564453125,201.82647705078125,0.916395366191864
3,4,1,ball,723.4117431640625,790.8828125,23.09918212890625,25.85205078125,0.8812561631202698
4,0,0,robot,419.4917297363281,1109.2169189453125,279.78973388671875,331.91961669921875,0.9459525346755981
4,1,0,robot,828.8326416015625,568.4065551757812,92.39398193359375,138.0802001953125,0.9279716610908508
4,2,0,robot,1213.922119140625,665.940673828125,142.76806640625,201.50726318359375,0.9279857277870178
4,3,0,robot,139.4021759033203,811.1883544921875,181.41773986816406,200.2769775390625,0.9153340458869934
4,4,1,ball,723.7518310546875,790.8614501953125,22.6981201171875,25.693603515625,0.8833195567131042
5,0,0,robot,411.2227478027344,1108.0205078125,282.80340576171875,329.6414794921875,0.9523040652275085
5,1,0,robot,827.726806640625,569.3909912109375,93.01251220703125,137.4158935546875,0.9284114241600037
5,2,0,robot,1214.11083984375,665.7203369140625,143.4544677734375,201.85357666015625,0.9259436130523682
5,3,0,robot,136.75425720214844,811.093994140625,184.45166015625,198.9486083984375,0.9200980067253113
5,4,1,ball,724.01220703125,791.1768798828125,22.5133056640625,25.39434814453125,0.8880945444107056
6,0,0,robot,401.3634033203125,1108.522705078125,282.37646484375,331.626708984375,0.957709789276123
6,1,0,robot,827.1961669921875,568.9552612304688,93.27728271484375,138.84912109375,0.9348157644271851
6,2,0,robot,1213.451904296875,665.9476318359375,143.63720703125,201.79827880859375,0.9343443512916565
6,3,0,robot,132.10292053222656,814.923095703125,187.8622589111328,197.81646728515625,0.9375020265579224
6,4,1,ball,723.80029296875,791.014892578125,22.68743896484375,25.33380126953125,0.88947594165802
7,0,0,robot,391.6853332519531,1109.4013671875,281.85784912109375,335.68194580078125,0.9585070610046387
7,1,0,robot,826.1468505859375,570.1490478515625,94.470947265625,138.22308349609375,0.9332113862037659
7,2,0,robot,1213.3046875,665.888671875,143.4522705078125,202.61859130859375,0.9379257559776306
7,3,0,robot,128.06602478027344,820.182861328125,185.14065551757812,194.658935546875,0.9420658946037292
7,4,1,ball,723.646728515625,791.0120849609375,22.3148193359375,25.16357421875,0.8854001760482788
8,0,0,robot,380.0491943359375,1110.5458984375,282.8499755859375,336.447509765625,0.9596682786941528
8,1,0,robot,825.5490112304688,570.4473266601562,94.308837890625,137.3729248046875,0.9352992177009583
8,2,0,robot,1213.1453857421875,665.2261962890625,144.061279296875,203.35748291015625,0.9304178953170776
8,3,0,robot,119.42132568359375,825.40576171875,190.64212036132812,191.86962890625,0.9331231117248535
8,4,1,ball,723.6038208007812,791.227294921875,22.4239501953125,24.9947509765625,0.8883155584335327
8,-1,1,ball,4.862955093383789,1091.23974609375,10.262348175048828,9.1912841796875,0.26066383719444275
9,0,0,robot,366.6353454589844,1110.7596435546875,280.78802490234375,335.93975830078125,0.9578293561935425
9,1,0,robot,824.655029296875,571.7865600585938,94.54559326171875,136.9996337890625,0.9391695261001587
9,2,0,robot,1212.86279296875,666.1978149414062,144.4920654296875,201.541259765625,0.9356967806816101
9,3,0,robot,113.60357666015625,829.032958984375,195.22537231445312,196.83740234375,0.9393276572227478
9,4,1,ball,723.871826171875,791.0947265625,22.5538330078125,24.85626220703125,0.8877949714660645
10,0,0,robot,352.75738525390625,1110.3994140625,284.19989013671875,333.3397216796875,0.9450058937072754
10,1,0,robot,822.5576171875,574.4779663085938,95.97943115234375,134.19754028320312,0.9297916293144226
10,2,0,robot,1213.3642578125,665.4818115234375,144.6588134765625,202.8013916015625,0.92162024974823
10,3,0,robot,109.89418029785156,834.2488403320312,194.33511352539062,201.5966796875,0.9282118678092957
10,4,1,ball,723.6988525390625,790.9561767578125,22.6729736328125,25.04937744140625,0.8854872584342957
11,0,0,robot,337.2008056640625,1109.806396484375,281.58685302734375,335.241943359375,0.9175261855125427
11,1,0,robot,821.087158203125,575.3676147460938,97.07098388671875,132.76260375976562,0.9104896187782288
11,2,0,robot,1213.326416015625,666.6241455078125,143.154052734375,198.98486328125,0.9079424738883972
11,3,0,robot,105.47531127929688,838.876708984375,194.37643432617188,203.31756591796875,0.904456615447998
11,4,1,ball,723.2208251953125,790.998291015625,22.73004150390625,25.05950927734375,0.8836567401885986
12,0,0,robot,321.4901123046875,1111.1156005859375,284.0969543457031,333.51922607421875,0.9283540844917297
12,1,0,robot,819.6629638671875,575.8941650390625,96.60015869140625,133.69424438476562,0.9069743156433105
12,2,0,robot,1213.1334228515625,666.364990234375,142.3525390625,200.82659912109375,0.8978915810585022
12,3,0,robot,100.10989379882812,846.4388427734375,192.19815063476562,205.28350830078125,0.9203539490699768
12,4,1,ball,723.0880126953125,791.06298828125,22.4505615234375,24.92889404296875,0.8853124380111694
13,0,0,robot,303.8278503417969,1110.799560546875,283.1824951171875,333.5921630859375,0.8948967456817627
13,1,0,robot,818.2848510742188,575.665771484375,94.9615478515625,135.91339111328125,0.9018137454986572
13,2,0,robot,1213.131591796875,666.968994140625,142.081787109375,198.6212158203125,0.9024176597595215
